Control.Reset,Control.Valid,Traversal.Count,Traversal.Valid
0,0,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
1,0,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
1,0,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
1,0,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,1
1,0,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
1,0,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
1,0,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
1,0,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
1,0,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
1,0,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
1,0,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
1,0,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
1,0,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,1
1,0,00000000000000000000000000000000,1
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
1,0,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
0,1,00000000000000000000000000000000,0
1,0,00000000000000000000000000000000,0
1,0,00000000000000000000000000000000,0
1,0,00000000000000000000000000000000,0
